strains,species,species_color,strains2,diversity2,color2
Pseudomonas_aeruginosa_SCH_ABX10_5321,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SCH_ABX10_5321,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_3C1A_isolate_Jpn1563_9934,aeruginosa,#D7261C,Pseudomonas_aeruginosa_3C1A_isolate_Jpn1563_9934,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AL561_9961,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AL561_9961,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_NCTC11452_6665,aeruginosa,#D7261C,Pseudomonas_aeruginosa_NCTC11452_6665,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_C5311_10173,aeruginosa,#D7261C,Pseudomonas_aeruginosa_C5311_10173,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AU17091_3960,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AU17091_3960,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_SCH_ABX06_5249,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SCH_ABX06_5249,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_SCH_ABX17_5683,aeruginosa,#D7261C,Pseudomonas_aeruginosa_SCH_ABX17_5683,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_4104355340-13_10856,aeruginosa,#D7261C,Pseudomonas_aeruginosa_4104355340-13_10856,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL524_10969,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL524_10969,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL519_10951,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL519_10951,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL511_10954,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL511_10954,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL521a_10949,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL521a_10949,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_AZPAE14945_2172,aeruginosa,#D7261C,Pseudomonas_aeruginosa_AZPAE14945_2172,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL520_10950,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL520_10950,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_4064320487_10869,aeruginosa,#D7261C,Pseudomonas_aeruginosa_4064320487_10869,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_PA-CL512_10953,aeruginosa,#D7261C,Pseudomonas_aeruginosa_PA-CL512_10953,1.54879976589477,#CECFE5
Pseudomonas_aeruginosa_BWHPSA046_2033,aeruginosa,#D7261C,Pseudomonas_aeruginosa_BWHPSA046_2033,1.54879976589477,#CECFE5
